,DENOMINACION DEL PROGRAMA CEDEAR,Identificación Mercado,Código Caja de Valores,ISIN CEDEAR,ISIN Subyacente,Cusip # Subyacente,Ratio Cedear/Acción ó ADR,Montos Máximos ,Mercado de Negociación,Valor Subyacente,Frecuencia de Pago,País de Origen,Industria,Descripción de la Industria,Mercado Elegible
151,TOYOTA MOTOR CORPORATION ADR,TM,8214,ARDEUT112083,US8923313071,892331307,15:1,"200,000,000,000.00",NYSE,ADR,Semi-Anl,Japón,Consumer,Automobiles,DTC
152,"The Travelers Companies, Inc.",TRV,8437,ARDEUT116100,US89417E1091,8.94E+113,6:1,"24,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Insurance,DTC
153,JOHNSON CONTROLS INTERNATIONAL,JCI,8169,ARDEUT111630,IE00BY7QL619,-,2:1,"500,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Industrial,Building Products,DTC
154,U.S. BANCORP,USB,8287,ARDEUT112919,US9029733048,902973304,5:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Banks,DTC
155,UNILEVER PLC-SPONSORED ADR,UL,8215,ARDEUT112091,US9047677045,904767704,3:1,"800,000,000.00",NYSE,ADR,Quarter,Reino Unido,Consumer,Personal Products,DTC
156,UNITED STATES STEEL CORP.,X,8433,ARDEUT116068,US9129091081,912909108,3:1,"86,010,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Basic Materials,Metals & Mining,DTC
157,RTX CORPORATION,RTX,8042,ARDEUT110384,US75513E1010,7.55E+105,5:1,"50,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Industrial,Aerospace & Defense,DTC
158,VERIZON COMMUNICATIONS INC.,VZ,8288,ARDEUT112927,US92343V1044,92343V104,4:1,"1,000,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Communications,Diversified Telecommunication,DTC
159,VODAFONE GROUP plc. ADR,VOD,8064,ARDEUT110590,US92857W3088,92857W308,1:1,"1,000,000.00",NASDAQ GS,ADR,Semi-Anl,Reino Unido,Communications,Wireless Telecommunication Ser,DTC
160,WALMART Inc.,WMT,8044,ARDEUT110400,US9311421039,931142103,18:1,"108,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Food & Staples Retailing,DTC
161,WELLS FARGO & COMPANY,WFC,8047,ARDEUT110434,US9497461015,949746101,5:1,"20,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Banks,DTC
162,ALTABA INC***,AABA,8110,ARDEUT111051,US0213461017,21346101,3:1,"1,000,000.00",N/A,Common Stock,None,US,Financial,Closed-end Funds,#N/A
163,YANKUANG ENERGY GROUP CO. LTD.,YZCAY,8397,ARDEUT114758,US9848461052,984846105,2:1,"15,660,000.00",OTC US,ADR,Annual,China,Energy,"Oil, Gas & Consumable Fuels",DTC
164,META PLATFORMS INC.,META,8467,ARBCOM460168,US30303M1027,30303M102,24:1,"16,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Interactive Media & Services,DTC
165,"AMAZON.COM, INC.",AMZN,8468,ARBCOM460176,US0231351067,23135106,144 : 1,"974,838,400.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Internet & Direct Marketing Re,DTC
166,NVIDIA CORPORATION,NVDA,8469,ARBCOM460184,US67066G1040,67066G104,24 : 1,"49,920,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
167,ADOBE SYSTEMS INCORPORATED,ADBE,8470,ARBCOM460192,US00724F1012,00724F101,44:1,"1,999,998.00",NASDAQ GS,Common Stock,Irreg,Estados Unidos,Technology,Software,DTC
168,BIOGEN INC.,BIIB,8471,ARBCOM4601A8,US09062X1037,09062X103,13 : 1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Consumer,Biotechnology,DTC
169,"GILEAD SCIENCES, INC.",GILD,8473,ARBCOM4601C4,US3755581036,375558103,4 : 1,"2,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Consumer,Biotechnology,DTC
170,"NETFLIX, INC.",NFLX,8474,ARBCOM4601D2,US64110L1061,64110L106,48:1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Entertainment,DTC
171,THERMO FISHER SCIENTIFIC INC.,TMO,8476,ARBCOM4601F7,US8835561023,883556102,22 : 1,"1,999,998.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Life Sciences Tools & Services,DTC
172,"PAYPAL HOLDINGS, INC.",PYPL,8477,ARBCOM4601S0,US70450Y1038,70450Y103,8 : 1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Consumer,IT Services,DTC
173,SALESFORCE INC.,CRM,8478,ARBCOM4601J9,US79466L3024,79466L302,18:1,"16,000,000.00",NYSE,Common Stock,None,Estados Unidos,Technology,Software,DTC
174,"TESLA, INC.",TSLA,8479,ARBCOM4601K7,US88160R1014,88160R101,15 : 1,"9,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Consumer,Automobiles,DTC
175,"ADVANCED MICRO DEVICES, INC.",AMD,8481,ARBCOM4601M3,US0079031078,7903107,10:1,"10,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
176,NOVAGOLD RESOURCES INC.,NG,8482,ARBCOM4601N1,CA66987E2069,6.70E+210,1 :4,"2,000,000.00",NYSEAmerican,Common Stock,None,Canadá,Basic Materials,Metals & Mining,DTC
177,"TRIPADVISOR, INC. ",TRIP,8483,ARBCOM4601O9,US8969452015,896945201,2 : 1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Interactive Media & Services,DTC
178,ABERCROMBIE & FITCH CO.,ANF,8484,ARBCOM4601P6,US0028962076,2896207,1 : 1,"2,000,000.00",NYSE,Common Stock,Irreg,Estados Unidos,Consumer,Specialty Retail,DTC
179,"URBAN OUTFITTERS, INC.",URBN,8485,ARBCOM4601Q4,US9170471026,917047102,2 : 1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Consumer,Specialty Retail,DTC
180,GARMIN LTD.,GRMN,8487,ARBCOM4601G5,CH0114405324,H2906T109,3 : 1,"2,000,000.00",NYSE,Common Stock,Quarter,Suiza,Industrial,Household Durables,DTC
181,SNAP INC.,SNAP,8488,ARBCOM4601H3,US83304A1060,83304A106,1 :1,"2,000,000.00",NYSE,Common Stock,None,Estados Unidos,Communications,Interactive Media & Services,DTC
182,"VERISIGN, INC.",VRSN,8489,ARBCOM4600U8,US92343E1029,9.23E+106,6 : 1,"2,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,IT Services,DTC
183,XEROX HOLDING CORPORATION,XRX,8490,ARBCOM4600W4,US98421M1062,98421M106,1 : 1,"2,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,"Technology Hardware, Storage &",DTC
184,YELP INC.,YELP,8491,ARBCOM4600Y0,US9858171054,985817105,2 : 1,"2,000,000.00",NYSE,Common Stock,None,Estados Unidos,Communications,Interactive Media & Services,DTC
185,"ROSS STORES, INC.",ROST,8492,ARBCOM4600Z7,US7782961038,778296103,4 : 1,"2,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Consumer,Specialty Retail,DTC
186,TARGET CORPORATION,TGT,8493,ARBCOM460101,US87612E1064,8.76E+110,24:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Multiline Retail,DTC
187,"THE GOLDMAN SACHS GROUP, INC",GS,8494,ARBCOM460119,US38141G1040,38141G104,13 : 1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Capital Markets,DTC
188,VISA INC,V,8495,ARBCOM460127,US92826C8394,92826C839,18:1,"20,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,IT Services,DTC
189,ARCOS DORADOS HOLDINGS INC.,ARCO,8496,ARBCOM460135,VGG0457F1071,G0457F107,1 :2,"2,000,000.00",NYSE,Common Stock,3x a yr,Uruguay,Consumer,"Hotels, Restaurants & Leisure",DTC
190,"DESPEGAR.COM, CORP.",DESP,8497,ARBCOM4600X2,VGG273581030,G27358103,1 : 1,"2,000,000.00",NYSE,Common Stock,None,Argentina,Communications,"Hotels, Restaurants & Leisure",DTC
191,ADECOAGRO S.A.,AGRO,8498,ARBCOM460143,LU0584671464,L00849106,1:1,"2,000,000.00",NYSE,Common Stock,None,Argentina,Consumer,Food Products,DTC
192,GLOBANT S.A.,GLOB,8499,ARBCOM460150,LU0974299876,L44385109,18:1,"30,000,000.00",NYSE,Common Stock,None,Uruguay,Technology,IT Services,DTC
193,ALIBABA GROUP HOLDING LIMITED*,BABA,8523,ARBCOM4601T8,US01609W1027,01609W102,9 : 1,"6,280,000.00",NYSE,ADR,None,China,Communications,Internet & Direct Marketing Re,DTC
194,"BAIDU, INC. ",BIDU,8501,ARBCOM4601U6,US0567521085,56752108,11 : 1,"2,000,000.00",NASDAQ GS,ADR,None,China,Communications,Interactive Media & Services,DTC
195,AMBEV S.A.,ABEV,8502,ARBCOM4601V4,US02319V1035,02319V103,1 :3,"2,000,000.00",NYSE,ADR,Semi-Anl,Brasil,Consumer,Beverages,DTC
196,TELEFÔNICA BRASIL S.A.,VIV,8503,ARBCOM4601W2,US87936R2058,87936R205,1 :1,"2,000,000.00",NYSE,ADR,Semi-Anl,Brasil,Communications,Diversified Telecommunication,DTC
197,"JD.COM, INC.",JD,8505,ARBCOM4601Y8,US47215P1066,47215P106,4:1,"2,000,000.00",NASDAQ GS,ADR,None,China,Communications,Internet & Direct Marketing Re,DTC
198,"NETEASE, INC.",NTES,8506,ARBCOM4601Z5,US64110W1027,64110W102,14 : 1,"2,000,000.00",NASDAQ GS,ADR,Quarter,China,Technology,Entertainment,DTC
199,TRIP.COM Group Ltd.,TCOM,8507,ARBCOM460226,US89677Q1076,89677Q107,2 : 1,"2,000,000.00",NASDAQ GS,ADR,Annual,China,Communications,Internet & Direct Marketing Re,DTC
200,JOYY Inc. ,YY,8508,ARBCOM460242,US46591M1099,46591M109,5 : 1,"2,000,000.00",NASDAQ GS,ADR,Quarter,China,Communications,Interactive Media & Services,DTC
201,GERDAU S.A.,GGB,8509,ARBCOM460200,US3737371050,373737105,1 :4,"2,000,000.00",NYSE,ADR,Quarter,Brasil,Basic Materials,Metals & Mining,DTC
202,BRF S.A.,BRFS,8510,ARBCOM460218,US10552T1079,10552T107,1 :3,"2,000,000.00",NYSE,ADR,Irreg,Brasil,Consumer,Food Products,DTC
203,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO**,CBD,8511,ARBCOM460234,US20440T3005,20440T300,1 :1,"2,000,000.00",OTC US,ADR,Annual,Brasil,Consumer,Food & Staples Retailing,DTC
204,COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO–SABESP,SBS,8512,ARBCOM4602F5,US20441A1025,20441A102,1 :2,"2,000,000.00",NYSE,ADR,Irreg,Brasil,Utilities,Water Utilities,DTC
205,WEIBO CORPORATION,WB,8513,ARBCOM460259,US9485961018,948596101,6:1,"2,000,000.00",NASDAQ GS,ADR,None,China,Communications,Interactive Media & Services,DTC
206,ITAÚ UNIBANCO HOLDING S.A.,ITUB,8514,ARBCOM460267,US4655621062,465562106,1 :1,"2,000,000.00",NYSE,ADR,Monthly,Brasil,Financial,Banks,DTC
207,EMBRAER-EMPRESA BRASILEIRA DE AERONÁUTICA S.A.,ERJ,8515,ARBCOM460291,US29082A1079,29082A107,1 :1,"2,000,000.00",NYSE,ADR,Irreg,Brasil,Industrial,Aerospace & Defense,DTC
208,ULTRAPAR PARTICIPAÇÕES S.A.,UGP,8516,ARBCOM4602C2,US90400P1012,90400P101,1 :1,"2,000,000.00",NYSE,ADR,Semi-Anl,Brasil,Energy,"Oil, Gas & Consumable Fuels",DTC
209,SUZANO SA,SUZ,8518,ARBCOM4602E8,US86959K1051,86959K105,1 :1,"2,000,000.00",NYSE,ADR,Irreg,Brasil,Basic Materials,Paper & Forest Products,DTC
210,CENTRAIS ELÉTRICAS BRASILEIRAS S.A. - ELETROBRÁS,EBR,8519,ARBCOM4602G3,US15234Q2075,15234Q207,1 :4,"2,000,000.00",NYSE,ADR,Annual,Brasil,Utilities,Electric Utilities,DTC
211,COMPANHIA PARANAENSE DE ENERGIA-COPEL - PREF,ELP,8520,ARBCOM460283,US20441B6056,20441B605,1 :3,"2,000,000.00",NYSE,ADR,Irreg,Brasil,Utilities,Electric Utilities,DTC
212,TIM PARTICIPAÇÕES S.A.,TIMB,8521,ARBCOM4602A6,US88706T1088,88706T108,1 :1,"2,000,000.00",NYSE,ADR,Annual,Brasil,Communications,Wireless Telecommunication Ser,DTC
213,COMPANHIA SIDERÚRGICA NACIONAL,SID,8522,ARBCOM4602B4,US20440W1053,20440W105,1 :8,"2,000,000.00",NYSE,ADR,Semi-Anl,Brasil,Basic Materials,Metals & Mining,DTC
214,TENARIS S.A. (ADS),TS,8524,ARBCOM4602S8,US88031M1099,88031M109,1 :1,"4,000,000.00",NYSE,ADR,Semi-Anl,Luxemburgo,Industrial,Energy Equipment & Services,DTC
215,BANCO SANTANDER  S.A. (ADR),SAN,8525,ARBCOM4602T6,US05964H1059,05964H105,1 :4,"500,000.00",NYSE,ADR,Semi-Anl,España,Financial,Banks,DTC
216,PETROLEO BRASILEIRO - PETROBRAS (ADR),PBR,8526,ARBCOM4602U4,US71654V4086,71654V408,1 :1,"15,000,000.00",NYSE,ADR,Quarter,Brasil,Energy,"Oil, Gas & Consumable Fuels",DTC
217,VISTA ENERGY S.A.B. de C.V (ADS),VIST,8527,ARBCOM4602V2 ,US92837L1098,92837L109,3:1,"150,000,000.00",NYSE,ADR,None,México,Energy,"Oil, Gas & Consumable Fuels",DTC
218,ABBVIE INC,ABBV ,8528,ARBCOM4603M9,US00287Y1091,00287Y109,10:1,"8,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Biotechnology,DTC
219,BERKSHIRE HATHAWAY INC,BRK/B,8529,ARBCOM4603L1,US0846707026,84670702,22:1,"5,999,994.00",NYSE,Common Stock,None,Estados Unidos,Financial,Diversified Financial Services,DTC
220,BIOCERES CROP SOLUTIONS CORP,BIOX ,8530,ARBCOM4603K3,KYG1117K1141,G1117K114.,1:1,"5,180,000.00",NASDAQ GS,Common Stock,None,Argentina,Consumer,Food Products,DTC
221,BROADCOM INC,AVGO ,8531,ARBCOM4603J5,US11135F1012,11135F101,39:1,"3,999,996.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
222,CORP AMERICA AIRPORTS SA,CAAP ,8532,ARBCOM4603I7,LU1756447840,175644784,1:4,"500,000.00",NYSE,Common Stock,None,Argentina,Consumer,Transportation Infrastructure,DTC
223,DOCUSIGN INC,DOCU ,8533,ARBCOM4603H9,US2561631068,256163106,22:1,"3,999,996.00",NASDAQ GS,Common Stock,None,Estados Unidos,Technology,Software,DTC
224,ETSY INC,ETSY ,8534,ARBCOM4603G1,US29786A1060,29786A106,16:1,"4,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Internet & Direct Marketing Re,DTC
225,GEOPARK LTD,GPRK,8535,ARBCOM4603F3,BMG383271050,G38327105,1:1,"7,030,000.00",NYSE,Common Stock,Quarter,Chile,Energy,"Oil, Gas & Consumable Fuels",DTC
226,HALLIBURTON CO,HAL ,8536,ARBCOM4603E6,US4062161017,406216101,2:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Energy,Energy Equipment & Services,DTC
227,MASTERCARD INC,MA ,8537,ARBCOM4603D8,US57636Q1040,57636Q104,33:1,"7,999,992.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,IT Services,DTC
228,PAN AMERICAN SILVER CORP,PAAS ,8538,ARBCOM4603C0,CA6979001089,697900108,3:1,"3,999,999.00",NYSE,Common Stock,Quarter,Canadá,Basic Materials,Metals & Mining,DTC
229,PHILLIPS 66,PSX,8539,ARBCOM460333,US7185461040,718546104,6:1,"3,999,996.00",NYSE,Common Stock,Quarter,Estados Unidos,Energy,"Oil, Gas & Consumable Fuels",DTC
230,UNION PACIFIC CORP,UNP ,8540,ARBCOM460382,US9078181081,907818108,20:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Industrial,Road & Rail,DTC
231,UNITEDHEALTH GROUP INC,UNH,8541,ARBCOM460390,US91324P1021,91324P102,33:1,"7,999,992.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Health Care Providers & Servic,DTC
232,WALGREENS BOOTS ALLIANCE INC,WBA ,8542,ARBCOM4603A4,US9314271084,931427108,3:1,"7,999,998.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Consumer,Food & Staples Retailing,DTC
233,ZOOM COMMUNICATIONS INC,ZM ,8543,ARBCOM4603B2,US98980L1017,98980L101,47:1,"3,999,982.00",NASDAQ GS,Common Stock,None,Estados Unidos,Technology,Software,DTC
234,EQUIFAX INC,EFX,8544,ARBCOM460325,US2944291051,294429105,16:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Professional Services,DTC
235,"BLOCK, INC",XYZ,8545,ARBCOM460374,US8522341036,852234103,20:1,"4,000,000.00",NYSE,Common Stock,None,Estados Unidos,Consumer,IT Services,DTC
236,SHOPIFY INC,SHOP ,8546,ARBCOM460341,CA82509L1076,82509L107,107:1,"39,999,810.00",NYSE,Common Stock,None,Canadá,Communications,IT Services,DTC
237,SPOTIFY TECHNOLOGY SA,SPOT ,8547,ARBCOM460366,LU1778762911,177876291,28:1,"1,999,984.00",NYSE,Common Stock,None,Suecia,Communications,Entertainment,DTC
238,SNOWFLAKE INC,SNOW,8548,ARBCOM460358,US8334451098,833445109,30:1,"3,999,990.00",NYSE,Common Stock,None,Estados Unidos,Technology,IT Services,DTC
239,TWILIO INC,TWLO,8561,ARBCOM4603T4,US90138F1021,90138F102,36:1,"4,000,000.00",NYSE,Common Stock,None,Estados Unidos,Technology,IT Services,DTC
240,COINBASE GLOBAL INC,COIN,8562,ARBCOM4603U2,US19260Q1076,19260Q107,27:1,"4,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Financial,Capital Markets,DTC
241,S&P GLOBAL INC,SPGI,8563,ARBCOM4603V0,US78409V1044,78409V104,45:1,"4,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Non-cyclical",Capital Markets,DTC
242,AMERICAN AIRLINES GROUP INC,AAL,8564,ARBCOM4603W8,US02376R1023,02376R102,2:1,"4,000,000.00",NASDAQ GS,Common Stock,Irreg,Estados Unidos,Consumer,Airlines,DTC
243,LAM RESEARCH CORP,LRCX,8565,ARBCOM4603X6,US5128073062,512807306,56:1,"40,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
244,ELECTRONIC ARTS INC,EA,8566,ARBCOM4603Y4,US2855121099,285512109,14:1,"4,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Entertainment,DTC
245,XP INC,XP,8567,ARBCOM4603Z1,KYG982391099,G98239109,4:1,"4,000,000.00",NASDAQ GS,Common Stock,None,Brasil,Financial,Capital Markets,DTC
246,GENERAL MOTORS CO,GM,8568,ARBCOM460408,US37045V1008,37045V100,6:1,"4,000,000.00",NYSE,Common Stock,Irreg,Estados Unidos,"Consumer, Cyclical",Automobiles,DTC
247,DOW INC,DOW,8569,ARBCOM460416,US2605571031,260557103,6:1,"4,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Basic Materials,Chemicals,DTC
248,EMBOTELLADORA ANDINA S.A.,AKO.B,8558,ARBCOM4603Q0,US29081P3038,29081P303,1:1,"4,000,000.00",NYSE,ADR,3x a yr,Chile,"Consumer, Non-cyclical",Beverages,DTC
249,NIO INC,NIO,8559,ARBCOM4603R8,US62914V1061,62914V106,4:1,"30,000,000.00",NYSE,ADR,None,China,"Consumer, Cyclical",Automobiles,DTC
250,SEA LTD,SE,8560,ARBCOM4603S6,US81141R1005,81141R100,32:1,"20,000,000.00",NYSE,ADR,None,Islas Caimán,Communications,Entertainment,DTC
251,ADIDAS AG,ADS,8570,ARBCOM460424,DE000A1EWWW0,,22:1,"10,000,000.00",XETRA,Common Stock,Annual,Alemania,Consumer,"Textiles, Apparel & Luxury Goo",EUROCLEAR
252,BRASILAGRO - CO BRASILEIRA DE PROPRIEDADES AGRICOLAS,LND,8590,AR0315369394,US10554B1044,10554B104,1:1,"500,000.00",NYSE,ADR,None,Brasil,Basic Materials,Food Products,DTC
253,BRASKEM SA,BAK,8591,AR0261973801,US1055321053,105532105,2:1,"10,800,000.00",NYSE,ADR,None,Brasil,Industrial,Health Care Providers & Servic,DTC
254,ADVANCE AUTO PARTS INC,AAP,8592,AR0402038027,US00751Y1064,00751Y106,14:1,"500,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Financial,DTC
255,LITHIUM AMERICAS CORP,LAC,8593,AR0925694561,CA53681J1030,53681J103,1:1,"7,660,000.00",NYSE,Common Stock,None,Canadá,Technology,Technology,DTC
256,MARVELL TECHNOLOGY INC,MRVL,8594,AR0557997514,US5738741041,573874104,14:1,"500,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Basic Materials,Basic Materials,DTC
257,MCEWEN MINING INC,MUX,8595,AR0829300257,US58039P3055,58039P305,2:1,"500,000.00",NYSE,Common Stock,Semi-Anl,Estados Unidos,Basic Materials,Basic Materials,DTC
258,NU HOLDINGS LTD/CAYMAN ISLANDS,NU,8596,AR0512295764,KYG6683N1034,G6683N103,2:1,"14,330,000.00",NYSE,Common Stock,None,Reino Unido,"Consumer, Cyclical","Consumer, Cyclical",DTC
259,PAGSEGURO DIGITAL LTD,PAGS,8597,AR0651353770,KYG687071012,G68707101,3:1,"8,950,000.00",NYSE,Common Stock,None,Reino Unido,Technology,Technology,DTC
260,PALANTIR TECHNOLOGIES INC,PLTR,8598,AR0132889822,US69608A1088,69608A108,3:1,"1,000,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Technology,Technology,DTC
261,SHAPEWAYS HOLDINGS INC***,SHPW,8599,AR0693614809,US81947T2015,81947T201,1:2,"500,000.00",OTC US,Common Stock,None,Estados Unidos,Communications,Communications,DTC
262,STONECO LTD,STNE,8628,AR0657424591,KYG851581069,G85158106,3:1,"1,400,000.00",NASDAQ GS,Common Stock,None,Islas Caimán,Financial,Financial,DTC
263,SUNCAR TECHNOLOGY GROUP INC,SDA,8629,AR0097548348,KYG857271087,G85727108,2:1,"500,000.00",NASDAQ CM,Common Stock,None,Islas Caimán,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
264,PHILIP MORRIS INTERNATIONAL INC.,PM,8630,AR0361136887,US7181721090,718172109,18:1,"500,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
265,CVS HEALTH CORP.,CVS,8631,AR0107022060,US1266501006,126650100,15:1,"1,480,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
266,"MONDELEZ INTERNATIONAL, INC.",MDLZ,8632,AR0774942129,US6092071058,609207105,15:1,"1,500,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
267,DELTA AIR LINES INC.,DAL,8633,AR0051689021,US2473617023,247361702,8:1,"500,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Cyclical","Consumer, Cyclical",DTC
268,CARNIVAL CORP.,CCL,8634,AR0180391374,PA1436583006,143658300,3:1,"500,000.00",NYSE,Common Stock,Irreg,Estados Unidos,"Consumer, Cyclical","Consumer, Cyclical",DTC
269,ACCENTURE PLC,ACN,8635,AR0334997050,IE00B4BNMY34,G1151C101,75:1,"500,000.00",NYSE,Common Stock,Quarter,Irlanda,Technology,Technology,DTC
270,CHARLES SCHWAB CORP.,SCHW,8636,AR0368313562,US8085131055,808513105,13:1,"500,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Financial,DTC
271,MODERNA INC.,MRNA,8637,AR0666228538,US60770K1079,60770K107,19:1,"9,200,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
272,STELLANTIS NV,STLA,8638,AR0940941575,NL00150001Q9,N82405106,5:1,"9,400,000.00",NYSE,Common Stock,Annual,Paises Bajos,"Consumer, Cyclical","Consumer, Cyclical",DTC
273,BOOKING HOLDINGS INC.,BKNG,8639,AR0171546572,US09857L1089,09857L108,700:1,"500,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Communications,Communications,DTC
274,T-MOBILE US INC.,TMUS,8640,AR0964115726,US8725901040,872590104,33:1,"500,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Communications,Communications,DTC
275,VIRGIN GALACTIC HOLDINGS INC.,SPCE,8641,AR0212589896,US92766K4031,92766K403,1:2,"500,000.00",NYSE,Common Stock,None,Estados Unidos,"Consumer, Cyclical","Consumer, Cyclical",DTC
276,RIOT PLATFORMS INC.,RIOT,8642,AR0375251839,US7672921050,767292105,3:1,"7,810,000.00",NASDAQ CM,Common Stock,None,Estados Unidos,"Consumer, Non-cyclical","Consumer, Non-cyclical",DTC
277,ROKU INC.,ROKU,8643,AR0187927956,US77543R1023,77543R102,13:1,"500,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,Communications,Communications,DTC
278,FERRARI NV,RACE,8644,AR0227017768,NL0011585146,N3167Y103,83:1,"500,000.00",NYSE,Common Stock,Annual,ITALIA,"Consumer, Cyclical","Consumer, Cyclical",DTC
279,SKYWORKS SOLUTIONS INC.,SWKS,8645,AR0061200025,US83088M1027,83088M102,21:1,"500,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Technology,DTC
280,PINTEREST INC.,PINS,8646,AR0752208279,US72352L1061,72352L106,7:1,"500,000.00",NYSE,Common Stock,None,Estados Unidos,Communications,Communications,DTC
281,BAKER HUGHES CO.,BKR,8647,AR0302010498,US05722G1004,05722G100,7:1,"100,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Energy,Oil&Gas Services,DTC
282,DANAHER CORP.,DHR,8648,AR0002457668,US2358511028,235851102,54:1,"4,820,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Non-cyclical",Healthcare-Products,DTC
283,GOODYEAR TIRE & RUBBER CO./THE,GT,8649,AR0539172129,US3825501014,382550101,2:1,"100,000.00",NASDAQ GS,Common Stock,Irreg,Estados Unidos,"Consumer, Cyclical",Auto Parts&Equipment,DTC
284,INTUITIVE SURGICAL INC.,ISRG,8650,AR0902369476,US46120E6023,46120E602,90:1,"100,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,"Consumer, Non-cyclical",Healthcare-Products,DTC
285,LITHIUM ARGENTINA AG.,LAR,8651,AR0527954207,CH1403212751,H5012F103,1:1,"5,800,000.00",NYSE,Common Stock,None,Canadá,Basic Materials,Mining,DTC
286,NEXGEN ENERGY LTD,NXE,8652,AR0220648593,CA65340P1062,65340P106,1:1,"100,000.00",NYSE,Common Stock,None,Canadá,Basic Materials,Mining,DTC
287,O'REILLY AUTOMOTIVE INC.,ORLY,8653,AR0876089472,US67103H1077,67103H107,222:1,"100,000.00",NASDAQ GS,Common Stock,None,Estados Unidos,"Consumer, Cyclical",Retail,DTC
288,TJX COMPANIES INC./THE,TJX,8654,AR0831219149,US8725401090,872540109,22:1,"100,000.00",NYSE,Common Stock,Quarter,Estados Unidos,"Consumer, Cyclical",Retail,DTC
